"LGA","year","Crime.Rate"
"ALBURY",2014,11981
"ARMIDALE REGIONAL",2014,10420
"BALLINA",2014,5933
"BALRANALD",2014,10017
"BATHURST REGIONAL",2014,9461
"BAYSIDE",2014,7687
"BEGA VALLEY",2014,5894
"BELLINGEN",2014,5693
"BERRIGAN",2014,5799
"BLACKTOWN",2014,11410
"BLAND",2014,5502
"BLAYNEY",2014,4753
"BLUE MOUNTAINS",2014,7442
"BOGAN",2014,17173
"BOURKE",2014,48711
"BREWARRINA",2014,30235
"BROKEN HILL",2014,12251
"BURWOOD",2014,10481
"BYRON",2014,14413
"CABONNE",2014,4628
"CAMDEN",2014,4452
"CAMPBELLTOWN",2014,13418
"CANADA BAY",2014,6480
"CANTERBURY-BANKSTOWN",2014,7864
"CARRATHOOL",2014,7750
"CENTRAL COAST",2014,8120
"CENTRAL DARLING",2014,35988
"CESSNOCK",2014,10210
"CLARENCE VALLEY",2014,9389
"COBAR",2014,16677
"COFFS HARBOUR",2014,9543
"COOLAMON",2014,3535
"COONAMBLE",2014,26730
"COOTAMUNDRA-GUNDAGAI REGIONAL",2014,8678
"COWRA",2014,11708
"CUMBERLAND",2014,8773
"DUBBO REGIONAL",2014,14900
"DUNGOG",2014,4283
"EDWARD RIVER",2014,10455
"EUROBODALLA",2014,8233
"FAIRFIELD",2014,7526
"FEDERATION",2014,6665
"FORBES",2014,11817
"GEORGES RIVER",2014,6130
"GILGANDRA",2014,16864
"GLEN INNES SEVERN SHIRE",2014,12120
"GOULBURN MULWAREE",2014,8401
"GREATER HUME",2014,3857
"GRIFFITH",2014,13337
"GUNNEDAH",2014,12496
"GWYDIR",2014,4933
"HAWKESBURY",2014,7372
"HAY",2014,13045
"HILLTOPS",2014,9299
"HORNSBY",2014,5071
"HUNTERS HILL",2014,4138
"INNER WEST",2014,7917
"INVERELL",2014,10626
"JUNEE",2014,6414
"KEMPSEY",2014,13076
"KIAMA",2014,4627
"KU-RING-GAI",2014,2660
"KYOGLE",2014,5534
"LACHLAN",2014,15237
"LAKE MACQUARIE",2014,8210
"LANE COVE",2014,3776
"LEETON",2014,8704
"LISMORE",2014,10145
"LITHGOW",2014,10863
"LIVERPOOL",2014,10020
"LIVERPOOL PLAINS",2014,7228
"LOCKHART",2014,5454
"MAITLAND",2014,9339
"MID-COAST",2014,8990
"MID-WESTERN REGIONAL",2014,10424
"MOREE PLAINS",2014,28420
"MOSMAN",2014,3692
"MURRAY RIVER",2014,7086
"MURRUMBIDGEE",2014,7821
"MUSWELLBROOK",2014,12549
"NAMBUCCA",2014,9323
"NARRABRI",2014,13464
"NARRANDERA",2014,12901
"NARROMINE",2014,14492
"NEWCASTLE",2014,13598
"NORTH SYDNEY",2014,6533
"NORTHERN BEACHES",2014,4546
"OBERON",2014,6337
"ORANGE",2014,14067
"PARKES",2014,10199
"PARRAMATTA",2014,10811
"PENRITH",2014,10267
"PORT MACQUARIE-HASTINGS",2014,7021
"PORT STEPHENS",2014,8234
"QUEANBEYAN-PALERANG REGIONAL",2014,5892
"RANDWICK",2014,5499
"RICHMOND VALLEY",2014,10179
"RYDE",2014,4762
"SHELLHARBOUR",2014,7633
"SHOALHAVEN",2014,8437
"SINGLETON",2014,8429
"SNOWY MONARO REGIONAL",2014,8698
"SNOWY VALLEYS",2014,7270
