Region,year,Crime.Rate
Central West,2017,9322
Far West,2017,15089
Greater Metropolitan Sydney,2017,8569
Hunter,2017,10327
Illawarra,2017,8764
Mid North Coast,2017,8746
Murray,2017,9160
Murrumbidgee,2017,10737
North Western,2017,15793
Northern,2017,11834
Richmond Tweed,2017,7862
Southeastern,2017,6705
Sydney Surrounds,2017,8331
Central West,2016,9912
Far West,2016,14057
Greater Metropolitan Sydney,2016,8783
Hunter,2016,10317
Illawarra,2016,8696
Mid North Coast,2016,8887
Murray,2016,9418
Murrumbidgee,2016,11187
North Western,2016,17672
Northern,2016,12020
Richmond Tweed,2016,8667
Southeastern,2016,7090
Sydney Surrounds,2016,8415
Central West,2015,10294
Far West,2015,13231
Greater Metropolitan Sydney,2015,9068
Hunter,2015,9587
Illawarra,2015,8551
Mid North Coast,2015,8880
Murray,2015,9022
Murrumbidgee,2015,11368
North Western,2015,17286
Northern,2015,11673
Richmond Tweed,2015,8503
Southeastern,2015,7044
Sydney Surrounds,2015,8066
Central West,2014,10332
Far West,2014,13893
Greater Metropolitan Sydney,2014,8511
Hunter,2014,9908
Illawarra,2014,8805
Mid North Coast,2014,8965
Murray,2014,9519
Murrumbidgee,2014,11076
North Western,2014,17007
Northern,2014,11842
Richmond Tweed,2014,8903
Southeastern,2014,7038
Sydney Surrounds,2014,7580
