region,offence,year,crimes.number,erp,crime.rate
Central West,Abduction and kidnapping,2001,9,194748,5
Central West,Against justice procedures,2001,1237,194748,635
Central West,Arson,2001,211,194748,108
Central West,Assault,2001,2331,194748,1197
Central West,Betting and gaming offences,2001,0,194748,0
Central West,Blackmail and extortion,2001,0,194748,0
Central West,Disorderly conduct,2001,1134,194748,582
Central West,Drug offences,2001,915,194748,470
Central West,Homicide,2001,5,194748,3
Central West,"Intimidation, stalking and harassment",2001,508,194748,261
Central West,Liquor offences,2001,452,194748,232
Central West,Malicious damage to property,2001,3672,194748,1886
Central West,Other offences,2001,715,194748,367
Central West,Other offences against the person,2001,44,194748,23
Central West,Pornography offences,2001,1,194748,1
Central West,Prohibited and regulated weapons offences,2001,321,194748,165
Central West,Prostitution offences,2001,0,194748,0
Central West,Robbery,2001,74,194748,38
Central West,Sexual offences,2001,373,194748,192
Central West,Theft,2001,10442,194748,5362
Central West,Transport regulatory offences,2001,19,194748,10
Far West,Abduction and kidnapping,2001,3,24571,12
Far West,Against justice procedures,2001,412,24571,1677
Far West,Arson,2001,26,24571,106
Far West,Assault,2001,664,24571,2702
Far West,Betting and gaming offences,2001,0,24571,0
Far West,Blackmail and extortion,2001,0,24571,0
Far West,Disorderly conduct,2001,249,24571,1013
Far West,Drug offences,2001,104,24571,423
Far West,Homicide,2001,2,24571,8
Far West,"Intimidation, stalking and harassment",2001,76,24571,309
Far West,Liquor offences,2001,174,24571,708
Far West,Malicious damage to property,2001,588,24571,2393
Far West,Other offences,2001,115,24571,468
Far West,Other offences against the person,2001,6,24571,24
Far West,Pornography offences,2001,1,24571,4
Far West,Prohibited and regulated weapons offences,2001,64,24571,260
Far West,Prostitution offences,2001,0,24571,0
Far West,Robbery,2001,14,24571,57
Far West,Sexual offences,2001,58,24571,236
Far West,Theft,2001,1589,24571,6467
Far West,Transport regulatory offences,2001,1,24571,4
Greater Metropolitan Sydney,Abduction and kidnapping,2001,313,3630790,9
Greater Metropolitan Sydney,Against justice procedures,2001,13878,3630790,382
Greater Metropolitan Sydney,Arson,2001,4650,3630790,128
Greater Metropolitan Sydney,Assault,2001,32240,3630790,888
Greater Metropolitan Sydney,Betting and gaming offences,2001,11,3630790,0
Greater Metropolitan Sydney,Blackmail and extortion,2001,48,3630790,1
Greater Metropolitan Sydney,Disorderly conduct,2001,7523,3630790,207
Greater Metropolitan Sydney,Drug offences,2001,13420,3630790,370
Greater Metropolitan Sydney,Homicide,2001,193,3630790,5
Greater Metropolitan Sydney,"Intimidation, stalking and harassment",2001,9149,3630790,252
Greater Metropolitan Sydney,Liquor offences,2001,3086,3630790,85
Greater Metropolitan Sydney,Malicious damage to property,2001,47418,3630790,1306
Greater Metropolitan Sydney,Other offences,2001,7368,3630790,203
Greater Metropolitan Sydney,Other offences against the person,2001,519,3630790,14
Greater Metropolitan Sydney,Pornography offences,2001,35,3630790,1
Greater Metropolitan Sydney,Prohibited and regulated weapons offences,2001,5251,3630790,145
Greater Metropolitan Sydney,Prostitution offences,2001,536,3630790,15
Greater Metropolitan Sydney,Robbery,2001,12050,3630790,332
Greater Metropolitan Sydney,Sexual offences,2001,4149,3630790,114
Greater Metropolitan Sydney,Theft,2001,285809,3630790,7872
Greater Metropolitan Sydney,Transport regulatory offences,2001,5981,3630790,165
Hunter,Abduction and kidnapping,2001,23,546674,4
Hunter,Against justice procedures,2001,2500,546674,457
Hunter,Arson,2001,677,546674,124
Hunter,Assault,2001,5612,546674,1027
Hunter,Betting and gaming offences,2001,2,546674,0
Hunter,Blackmail and extortion,2001,1,546674,0
Hunter,Disorderly conduct,2001,1420,546674,260
Hunter,Drug offences,2001,1843,546674,337
Hunter,Homicide,2001,18,546674,3
Hunter,"Intimidation, stalking and harassment",2001,818,546674,150
Hunter,Liquor offences,2001,233,546674,43
Hunter,Malicious damage to property,2001,9450,546674,1729
Hunter,Other offences,2001,966,546674,177
Hunter,Other offences against the person,2001,62,546674,11
Hunter,Pornography offences,2001,8,546674,1
Hunter,Prohibited and regulated weapons offences,2001,701,546674,128
Hunter,Prostitution offences,2001,44,546674,8
Hunter,Robbery,2001,538,546674,98
Hunter,Sexual offences,2001,912,546674,167
Hunter,Theft,2001,36772,546674,6727
Hunter,Transport regulatory offences,2001,413,546674,76
Illawarra,Abduction and kidnapping,2001,23,396691,6
Illawarra,Against justice procedures,2001,2289,396691,577
Illawarra,Arson,2001,340,396691,86
Illawarra,Assault,2001,4469,396691,1127
Illawarra,Betting and gaming offences,2001,3,396691,1
Illawarra,Blackmail and extortion,2001,3,396691,1
