LGA,Region,CrimeRate.2014,CrimeRate.2015,CrimeRate.2016,CrimeRate.2017
ALBURY,Murray,11981,11424,11947,11713
ARMIDALE REGIONAL,Northern,10420,11874,13288,10741
BALLINA,Richmond Tweed,5933,5383,6257,6132
BALRANALD,Murray,10017,12902,8240,8031
BATHURST REGIONAL,Central West,9461,9882,9533,10105
BAYSIDE,Greater Metropolitan Sydney,7687,9162,7916,7080
BEGA VALLEY,Southeastern,5894,6113,6243,5721
BELLINGEN,Mid North Coast,5693,4886,6162,6125
BERRIGAN,Murray,5799,5696,5599,5425
BLACKTOWN,Greater Metropolitan Sydney,11410,13945,13115,13625
BLAND,Central West,5502,5957,6524,5581
BLAYNEY,Central West,4753,4944,5679,5624
BLUE MOUNTAINS,Sydney Surrounds,7442,7945,6180,6203
BOGAN,North Western,17173,16163,12192,12012
BOURKE,North Western,48711,53088,57748,46902
BREWARRINA,North Western,30235,26390,25673,29461
BROKEN HILL,Far West,12251,11928,12719,14228
BURWOOD,Greater Metropolitan Sydney,10481,9719,8615,8214
BYRON,Richmond Tweed,14413,11874,11964,10810
CABONNE,Central West,4628,4715,3963,3829
CAMDEN,Greater Metropolitan Sydney,4452,4995,5032,5201
CAMPBELLTOWN,Greater Metropolitan Sydney,13418,14647,15701,14444
CANADA BAY,Greater Metropolitan Sydney,6480,6606,5555,4892
CANTERBURY-BANKSTOWN,Greater Metropolitan Sydney,7864,7960,7858,7579
CARRATHOOL,Murrumbidgee,7750,8930,8772,7475
CENTRAL COAST,Sydney Surrounds,8120,8672,9648,9519
CENTRAL DARLING,Far West,35988,31357,33014,29902
CESSNOCK,Hunter,10210,10228,10573,10481
CLARENCE VALLEY,Mid North Coast,9389,9215,9548,8732
COBAR,North Western,16677,16875,16335,14210
COFFS HARBOUR,Mid North Coast,9543,9946,9940,9931
COOLAMON,Murrumbidgee,3535,5222,5900,5285
COONAMBLE,North Western,26730,26351,23797,23592
COOTAMUNDRA-GUNDAGAI REGIONAL,Murrumbidgee,8678,7689,7705,7933
COWRA,Central West,11708,12195,11628,9170
CUMBERLAND,Greater Metropolitan Sydney,8773,9101,7247,7669
DUBBO REGIONAL,North Western,14900,14754,16925,14122
DUNGOG,Hunter,4283,4452,5131,3820
EDWARD RIVER,Murray,10455,10142,9954,10962
EUROBODALLA,Southeastern,8233,8664,8584,8027
FAIRFIELD,Greater Metropolitan Sydney,7526,7897,8008,7471
FEDERATION,Murray,6665,6095,7417,6075
FORBES,Central West,11817,12123,11694,11644
GEORGES RIVER,Greater Metropolitan Sydney,6130,7384,7150,6657
GILGANDRA,North Western,16864,16859,12122,11726
GLEN INNES SEVERN SHIRE,Northern,12120,10553,13913,13297
GOULBURN MULWAREE,Southeastern,8401,8331,7644,7599
GREATER HUME,Murray,3857,3869,3993,3679
GRIFFITH,Murrumbidgee,13337,12812,11735,11521
GUNNEDAH,Northern,12496,12605,9287,8729
GWYDIR,Northern,4933,5130,6252,5175
HAWKESBURY,Sydney Surrounds,7372,7790,7943,7769
HAY,Murrumbidgee,13045,20474,22218,19033
HILLTOPS,Southeastern,9299,8134,7768,7999
HORNSBY,Greater Metropolitan Sydney,5071,5075,5295,5112
HUNTERS HILL,Greater Metropolitan Sydney,4138,3473,3418,4089
INNER WEST,Greater Metropolitan Sydney,7917,8620,7709,6988
INVERELL,Northern,10626,10609,10225,9932
JUNEE,Murrumbidgee,6414,6929,8871,5944
KEMPSEY,Mid North Coast,13076,12366,12351,12179
KIAMA,Illawarra,4627,5464,4962,5056
