year,Offence,offences,erp,crime.rate
2001,Theft,461495,6530349,7067
2001,Transport regulatory offences,8149,6530349,125
2001,Malicious damage to property,96609,6530349,1479
2001,Assault,67806,6530349,1038
2002,Theft,408640,6580807,6210
2002,Transport regulatory offences,24491,6580807,372
2002,Malicious damage to property,93555,6580807,1422
2002,Assault,70808,6580807,1076
2003,Theft,363632,6620715,5492
2003,Transport regulatory offences,43802,6620715,662
2003,Malicious damage to property,94594,6620715,1429
2003,Assault,70864,6620715,1070
2004,Theft,324711,6650735,4882
2004,Transport regulatory offences,42506,6650735,639
2004,Malicious damage to property,94752,6650735,1425
2004,Assault,68087,6650735,1024
2005,Theft,300339,6693206,4487
2005,Transport regulatory offences,36855,6693206,551
2005,Malicious damage to property,103130,6693206,1541
2005,Assault,69405,6693206,1037
2006,Theft,297573,6742690,4413
2006,Transport regulatory offences,34573,6742690,513
2006,Malicious damage to property,108731,6742690,1613
2006,Assault,70025,6742690,1039
2007,Theft,291977,6834156,4272
2007,Transport regulatory offences,36529,6834156,535
2007,Malicious damage to property,107220,6834156,1569
2007,Assault,71394,6834156,1045
2008,Theft,284702,6943461,4100
2008,Transport regulatory offences,39515,6943461,569
2008,Malicious damage to property,109434,6943461,1576
2008,Assault,71263,6943461,1026
2009,Theft,258320,7053755,3662
2009,Transport regulatory offences,42648,7053755,605
2009,Malicious damage to property,101613,7053755,1441
2009,Assault,69577,7053755,986
2010,Theft,251040,7144292,3514
2010,Transport regulatory offences,53954,7144292,755
2010,Malicious damage to property,91555,7144292,1282
2010,Assault,68394,7144292,957
2011,Theft,254427,7218529,3525
2011,Transport regulatory offences,57336,7218529,794
2011,Malicious damage to property,87135,7218529,1207
2011,Assault,66769,7218529,925
2012,Theft,260230,7304244,3563
2012,Transport regulatory offences,58867,7304244,806
2012,Malicious damage to property,82760,7304244,1133
2012,Assault,65370,7304244,895
2013,Theft,253063,7404032,3418
2013,Transport regulatory offences,70851,7404032,957
2013,Malicious damage to property,76253,7404032,1030
2013,Assault,65174,7404032,880
2014,Theft,242940,7508353,3236
2014,Transport regulatory offences,84369,7508353,1124
2014,Malicious damage to property,68200,7508353,908
2014,Assault,63482,7508353,845
2015,Theft,237381,7616168,3117
2015,Transport regulatory offences,119264,7616168,1566
2015,Malicious damage to property,64040,7616168,841
2015,Assault,62438,7616168,820
2016,Theft,234427,7732858,3032
2016,Transport regulatory offences,120031,7732858,1552
2016,Malicious damage to property,62822,7732858,812
2016,Assault,63240,7732858,818
2017,Theft,224508,7861674,2856
2017,Transport regulatory offences,129652,7861674,1649
2017,Malicious damage to property,61185,7861674,778
2017,Assault,63000,7861674,801
